77.55,77.55,77.55,77.55,78.26,78.26,78.26,78.26,78.26
52.35,52.35,63.71,63.71,63.71,63.71,63.71,73.83,73.83
54.30,54.30,54.30,69.74,69.74,69.74,69.74,76.84,76.84
55.19,55.19,79.68,79.68,79.68,79.68,79.68,77.20,77.20
58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,78.97
75.78,75.78,75.78,75.78,79.86,79.86,79.86,79.86,79.86
56.08,56.08,56.08,77.73,77.73,77.73,77.73,77.73,77.73
59.45,59.45,59.45,59.45,59.45,59.45,77.20,77.20,77.20
70.10,70.10,70.10,70.10,70.10,70.10,80.21,80.21,80.21
54.84,78.09,78.09,78.09,78.09,78.09,76.49,76.49,76.49
54.84,76.67,76.67,76.67,76.67,76.67,76.13,76.13,76.13
76.67,76.67,76.67,76.67,78.80,78.80,78.80,78.80,78.80
64.78,64.78,64.78,64.78,80.39,80.39,80.39,80.39,80.39
70.81,70.81,70.81,70.81,70.81,78.62,78.62,78.62,78.62
51.11,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21
56.79,56.79,56.79,77.73,77.73,77.73,77.73,77.73,77.73
56.08,77.91,77.91,77.91,77.91,77.91,79.86,79.86,79.86
54.13,54.13,63.89,63.89,63.89,63.89,63.89,70.10,70.10
54.13,54.13,54.13,54.13,78.97,78.97,78.97,78.97,78.97
