54.30,54.30,54.30,54.30,54.30,54.30,54.30,54.30,54.30
54.13,54.13,54.13,54.13,53.42,53.42,53.42,53.42,53.42
53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77
54.84,54.84,52.89,52.89,52.89,52.89,52.89,53.95,53.95
54.84,48.45,48.45,48.45,48.45,48.45,51.64,51.64,51.64
55.37,55.37,58.39,58.39,58.39,58.39,58.39,58.39,58.03
56.61,56.61,56.61,56.61,56.61,56.61,55.90,55.90,55.90
51.82,51.82,51.82,51.82,51.82,52.71,52.71,52.71,52.71
54.66,54.66,54.66,54.66,57.68,57.68,57.68,57.68,57.68
56.08,56.08,56.08,56.08,56.08,56.08,55.72,55.72,55.72
56.08,56.08,56.08,52.00,52.00,52.00,52.00,52.00,52.00
58.39,58.39,58.39,58.39,58.39,57.85,57.85,57.85,57.85
59.10,59.10,59.10,59.10,59.10,58.21,58.21,58.21,58.21
56.97,56.97,56.97,56.97,57.85,57.85,57.85,57.85,57.85
57.50,57.50,56.79,56.79,56.79,56.79,56.79,56.79,56.79
55.90,55.37,55.37,55.37,55.37,55.37,55.19,55.19,55.19
55.55,55.55,55.55,55.55,55.55,55.55,55.55,55.55,56.26
54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66,54.66
53.59,53.24,53.24,53.24,53.24,53.24,52.18,52.18,52.18
53.06,56.08,56.08,56.08,56.08,56.08,57.50,57.50,57.50
55.72,55.72,56.43,56.43,56.43,56.43,56.43,56.43,56.26
57.32,57.32,57.32,57.32,57.32,57.32,56.61,56.61,56.61
49.34,49.34,49.34,49.34,49.34,50.40,50.40,50.40,50.40
59.63,59.63,60.34,60.34,60.34,60.34,60.34,60.34,59.27
