4.62,0.03,4.73,0.03,6.39,-0.11,5.94,0.06,5.46,0.06,2.93,-0.02,2.44,0.32,3.03,0.78,3.74,0.88,0.27,-0.15
6.74,0.00,5.09,0.46,6.56,0.29,7.08,0.17,1.04,-0.11,1.31,1.01,4.62,2.27,-2.75,-0.06,-3.89,-0.03,-2.10,0.14
4.05,-0.13,4.28,-0.11,5.77,0.04,6.60,0.17,7.63,0.21,7.37,0.23,5.98,0.05,6.38,0.04,4.98,0.25,4.43,0.17
6.19,0.25,5.77,0.07,7.37,0.02,6.25,0.35,2.97,0.44,3.12,1.39,0.43,0.59,-3.01,0.35,-1.98,0.29,-2.27,0.34
5.15,-0.02,6.36,0.01,8.19,0.09,6.94,0.06,6.38,-0.07,6.30,0.03,6.46,-0.09,5.23,0.00,6.87,0.02,5.74,-0.25
3.63,0.07,4.60,0.10,5.51,-0.02,5.93,0.11,4.30,0.03,5.63,-0.02,5.82,0.12,7.05,0.18,6.02,0.17,5.71,0.15
0.22,-0.01,1.19,0.24,1.18,0.17,3.57,0.07,1.81,0.00,3.19,-0.04,5.33,0.22,5.05,0.10,5.99,0.14,4.99,0.02
5.96,0.05,7.51,-0.32,-0.89,-0.08,-0.33,0.09,-2.39,0.74,-4.88,-0.86,-4.67,0.33,-5.36,0.48,-3.96,0.06,-4.15,-0.16
6.23,0.24,6.17,0.46,6.32,0.25,6.56,0.22,11.80,-0.17,7.60,0.04,0.72,0.56,-2.73,0.77,-3.71,0.41,-3.91,0.32
5.38,-0.02,4.84,-0.19,6.33,-0.09,6.43,-0.19,6.39,-0.17,5.75,-0.21,6.05,0.00,5.84,-0.12,6.06,0.08,5.87,-0.01
8.18,0.42,6.02,-0.03,6.20,-0.04,6.46,-0.22,7.31,-0.11,8.15,-0.06,6.39,-0.07,6.66,-0.08,7.67,0.03,7.31,0.07
7.51,0.13,4.52,0.17,5.68,-0.02,5.70,0.38,7.44,0.33,5.72,0.16,5.99,0.40,6.07,0.36,8.62,0.35,6.85,0.53
7.49,-0.08,6.68,0.14,4.32,-0.40,5.92,-0.08,6.36,-0.15,7.59,-0.04,5.88,-0.06,5.98,-0.06,6.26,0.14,5.83,0.09
6.27,-0.07,9.76,0.14,4.64,-0.10,5.29,0.10,4.33,0.11,5.27,0.06,4.43,0.05,5.25,-0.05,5.59,-0.07,6.27,-0.01
6.79,0.30,4.67,0.30,5.12,0.34,6.87,0.46,7.22,0.29,7.40,0.30,7.49,0.27,6.24,0.20,6.08,0.18,6.75,0.16
3.41,-0.45,6.52,0.30,7.31,0.18,6.42,0.06,5.55,0.15,3.85,0.42,1.28,1.75,0.46,-0.61,-3.03,0.89,-1.62,0.04
4.84,0.22,6.18,0.04,4.60,0.06,5.44,0.14,5.93,0.20,6.14,0.06,6.05,0.05,6.48,0.21,4.02,0.03,4.04,0.35
2.49,-0.48,5.52,-0.32,5.01,0.04,5.69,0.11,6.40,0.41,7.15,-0.04,3.66,0.20,6.99,1.25,4.02,0.97,0.79,-0.19
6.53,0.56,5.04,0.26,6.24,-0.04,5.62,0.15,6.59,0.13,7.11,-0.02,6.86,0.01,6.78,-0.03,6.47,0.35,6.03,0.80
5.44,-0.15,6.43,-0.59,6.55,-0.05,5.15,-0.00,6.14,0.20,5.63,0.26,1.27,1.89,-1.54,-0.63,-4.53,1.06,-2.35,-0.08
