-13.73,0.07,-13.67,0.12,-13.85,0.15,-13.76,0.19,-13.70,0.05,-13.12,0.16,-13.77,0.14,-13.44,0.13,-13.25,0.08,-13.26,0.06
-13.68,0.08,-13.62,0.07,-13.31,0.06,-13.60,0.13,-13.38,0.08,-13.33,0.08,-13.40,0.11,-13.58,0.14,-13.22,0.09,-13.16,0.07
-7.39,0.09,-9.03,0.31,-9.67,-0.04,-9.01,-0.49,-12.09,-0.32,-12.23,0.15,-13.55,-0.26,-14.11,0.20,-13.36,0.45,-13.67,0.30
-13.55,0.11,-13.36,0.05,-13.18,0.12,-13.28,0.12,-12.90,0.10,-13.23,0.15,-13.90,0.05,-13.22,0.09,-13.61,0.18,-13.51,0.12
-12.92,-0.13,-14.03,0.49,-11.56,-0.02,-11.82,0.17,-13.95,-0.04,-13.33,0.81,-12.59,0.46,-12.97,-0.38,-12.59,0.32,-12.07,-0.31
-13.16,0.06,-13.11,0.05,-12.85,-0.03,-11.68,0.12,-13.47,-0.03,-12.49,0.07,-13.22,0.10,-12.99,0.11,-12.80,0.07,-12.69,0.12
-6.41,-0.68,-9.51,-0.41,-11.04,-0.31,-11.72,0.34,-13.20,0.14,-13.31,-0.37,-14.38,0.01,-12.79,0.17,-12.15,0.11,-13.11,-0.26
-12.63,-0.10,-14.26,-0.10,-14.23,0.44,-13.26,0.11,-13.41,-0.09,-13.10,0.00,-13.10,0.18,-12.36,0.04,-13.07,0.12,-12.19,0.07
-4.24,0.10,-4.20,0.14,-4.34,0.17,-6.29,-0.05,-4.76,0.07,-13.86,-0.16,-11.40,-0.72,-12.59,-0.03,-12.92,0.31,-12.94,-0.07
-13.94,0.34,-13.29,0.42,-12.65,0.18,-13.03,0.03,-13.57,0.07,-11.85,0.45,-12.88,-0.20,-12.04,0.09,-13.04,-0.00,-11.16,0.17
-7.45,0.16,-7.32,0.01,-9.14,0.08,-8.71,0.49,-9.23,0.22,-10.35,-0.04,-10.63,0.41,-11.42,0.19,-12.48,-0.24,-14.04,0.35
-11.15,0.25,-13.72,-0.29,-15.23,0.16,-12.79,0.07,-12.64,0.14,-13.84,0.21,-12.90,-0.02,-13.86,0.11,-12.99,0.14,-13.14,0.05
-12.57,0.12,-15.25,0.55,-11.58,0.28,-13.48,-0.09,-14.67,-0.01,-12.88,0.23,-13.24,0.06,-12.69,0.12,-13.02,0.04,-12.36,0.05
-12.57,-0.11,-13.70,0.30,-13.58,0.03,-13.53,-0.00,-14.33,0.17,-13.10,-0.06,-12.96,0.15,-13.39,0.05,-13.04,0.18,-12.88,0.10
-13.22,0.15,-12.95,0.10,-13.26,0.08,-13.49,0.12,-13.75,0.08,-13.79,0.04,-13.55,0.19,-13.34,-0.04,-13.25,0.17,-13.92,0.04
-13.29,0.17,-13.57,0.01,-12.77,-0.18,-14.98,0.71,-13.44,0.04,-13.27,0.09,-14.23,0.06,-13.36,0.06,-13.87,0.30,-12.92,0.00
-10.66,-0.02,-10.44,-0.03,-13.02,0.27,-11.56,0.32,-12.83,0.01,-14.22,0.26,-14.06,0.53,-13.75,0.34,-12.59,0.34,-12.66,0.31
-13.00,0.30,-14.51,0.25,-13.64,0.03,-13.38,0.24,-14.28,0.37,-12.79,0.01,-13.00,0.03,-13.36,0.01,-13.33,0.07,-13.25,0.08
-11.67,0.26,-11.40,0.16,-13.85,0.39,-12.70,0.19,-14.45,0.26,-13.84,0.16,-13.83,0.15,-13.02,0.02,-13.72,0.06,-13.65,0.1620
-13.05,0.07,-13.87,0.06,-13.74,0.25,-12.33,0.03,-13.97,0.10,-13.55,0.17,-13.24,0.07,-13.73,0.24,-13.64,0.04,-13.49,0.25
